Circuit,Map,Type,Direction,Location,Country,Last length used,Turns,Grands Prix,Season(s),Grands Prix held
Autódromo Oscar y Juan Gálvez,,Race circuit,Clockwise,Buenos Aires,Argentina,4.259 km,18,Argentine Grand Prix,"1953–1958, 1960, 1972–1975, 1977–1981, 1995–1998",20
AVUS,,Road circuit,Anti-clockwise,Berlin,Germany,8.300 km,4,German Grand Prix,1959,1
Bahrain International Circuit *,,Race circuit,Clockwise,Sakhir,Bahrain,5.412 km,15,"Bahrain Grand Prix,
Sakhir Grand Prix","2004–2010, 2012–2024[a]",21
Baku City Circuit *,,Street circuit,Anti-clockwise,Baku,Azerbaijan,6.003 km,20,"European Grand Prix,
Azerbaijan Grand Prix","2016–2019, 2021–2023",7
Brands Hatch Circuit,,Race circuit,Clockwise,West Kingsdown,United Kingdom,4.206 km,11,"British Grand Prix,
European Grand Prix","1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982–1986",14
Buddh International Circuit,,Race circuit,Clockwise,Greater Noida,India,5.141 km,16,Indian Grand Prix,2011–2013,3
Bugatti Au Mans,,Race circuit,Clockwise,Le Mans,France,4.430 km,8,French Grand Prix,1967,1
Caesars Palace Grand Prix Circuit,,Street circuit,Anti-clockwise,Paradise,United States,3.650 km,14,Caesars Palace Grand Prix,1981–1982,2
Charade Circuit,,Road circuit,Clockwise,Saint-Genès-Champanelle,France,8.055 km,38,French Grand Prix,"1965, 1969–1970, 1972",4
Circuit Bremgarten,,Road circuit,Clockwise,Bern,Switzerland,7.208 km,14,Swiss Grand Prix,1950–1954,5
Circuit de Barcelona-Catalunya *,,Race circuit,Clockwise,Montmeló,Spain,4.657 km,14,Spanish Grand Prix,1991–2023,33
Circuit de Monaco *,,Street circuit,Clockwise,Monte Carlo,Monaco,3.337 km,19,Monaco Grand Prix,"1950, 1955–2019, 2021–2023",69
Circuit de Nevers Magny-Cours,,Race circuit,Clockwise,Magny-Cours,France,4.411 km,16,French Grand Prix,1991–2008,18
Circuit de Pedralbes,,Street circuit,Clockwise,Barcelona,Spain,6.316 km,6,Spanish Grand Prix,"1951, 1954",2
Circuit de Reims-Gueux,,Road circuit,Clockwise,Gueux,France,8.302 km,6,French Grand Prix,"1950–1951, 1953–1954, 1956, 1958–1961, 1963, 1966",11
Circuit de Spa-Francorchamps *,,Race circuit,Clockwise,Stavelot,Belgium,7.004 km,20,Belgian Grand Prix,"1950–1956, 1958, 1960–1968, 1970, 1983, 1985–2002, 2004–2005, 2007–2023",56
Circuit Dijon-Prenois,,Race circuit,Clockwise,Prenois,France,3.886 km,12,"French Grand Prix,
Swiss Grand Prix","1974, 1977, 1979, 1981–1982, 1984",6
Circuit Gilles-Villeneuve *,,Street circuit,Clockwise,Montreal,Canada,4.361 km,13,Canadian Grand Prix,"1978–1986, 1988–2008, 2010–2019, 2022–2023",42
Circuit Mont-Tremblant,,Race circuit,Clockwise,Mont-Tremblant,Canada,4.265 km,15,Canadian Grand Prix,"1968, 1970",2
Circuit of the Americas *,,Race circuit,Anti-clockwise,Austin,United States,5.513 km,20,United States Grand Prix,"2012–2019, 2021–2023",11
Circuit Paul Ricard,,Race circuit,Clockwise,Le Castellet,France,5.842 km,15,French Grand Prix,"1971, 1973, 1975–1976, 1978, 1980, 1982–1983, 1985–1990, 2018–2019, 2021–2022",18
Circuit Zandvoort *,,Race circuit,Clockwise,Zandvoort,Netherlands,4.259 km,14,Dutch Grand Prix,"1952–1953, 1955, 1958–1971, 1973–1985, 2021–2023",33
Circuit Zolder,,Race circuit,Clockwise,Heusden-Zolder,Belgium,4.262 km,10,Belgian Grand Prix,"1973, 1975–1982, 1984",10
Circuito da Boavista,,Street circuit,Anti-clockwise,Porto,Portugal,7.775 km,15,Portuguese Grand Prix,"1958, 1960",2
Circuito de Monsanto,,Street circuit,Clockwise,Lisbon,Portugal,5.440 km,9,Portuguese Grand Prix,1959,1
Circuito Permanente de Jerez,,Race circuit,Clockwise,Jerez de la Frontera,Spain,4.428 km,13,"Spanish Grand Prix,
European Grand Prix","1986–1990, 1994, 1997",7
Circuito Permanente del Jarama,,Race circuit,Clockwise,San Sebastián de los Reyes,Spain,3.314 km,12,Spanish Grand Prix,"1968, 1970, 1972, 1974, 1976–1979, 1981",9
Dallas Fair Park,,Street circuit,Anti-clockwise,Dallas,United States,3.901 km,14,Dallas Grand Prix,1984,1
Detroit Street Circuit,,Street circuit,Anti-clockwise,Detroit,United States,4.168 km,20,Detroit Grand Prix,1982–1988,7
Donington Park,,Race circuit,Clockwise,Castle Donington,United Kingdom,4.020 km,11,European Grand Prix,1993,1
Fuji Speedway,,Race circuit,Clockwise,Oyama,Japan,4.563 km,16,Japanese Grand Prix,"1976–1977, 2007–2008",4
Hockenheimring,,Race circuit,Clockwise,Hockenheim,Germany,4.574 km,16,German Grand Prix,"1970, 1977–1984, 1986–2006, 2008, 2010, 2012, 2014, 2016, 2018–2019",37
Hungaroring *,,Race circuit,Clockwise,Mogyoród,Hungary,4.381 km,14,Hungarian Grand Prix,1986–2023,38
Indianapolis Motor Speedway,,Race circuit,Clockwise,Speedway,United States,4.192 km,13,"Indianapolis 500[b],
United States Grand Prix","1950–1960, 2000–2007",19
Intercity Istanbul Park,,Race circuit,Anti-clockwise,Istanbul,Turkey,5.338 km,14,Turkish Grand Prix,"2005–2011, 2020–2021",9
Jeddah Corniche Circuit *,,Street circuit,Anti-clockwise,Jeddah,Saudi Arabia,6.174 km,27,Saudi Arabian Grand Prix,2021–2024,4
Korea International Circuit,,Race circuit,Anti-clockwise,Yeongam,South Korea,5.615 km,18,Korean Grand Prix,2010–2013,4
Kyalami Grand Prix Circuit,,Race circuit,Anti-clockwise,Midrand,South Africa,4.261 km,13,South African Grand Prix,"1967–1980, 1982–1985, 1992–1993",20
Las Vegas Strip Circuit *,,Street circuit,Anti-clockwise,Paradise,United States,6.201 km,17,Las Vegas Grand Prix,2023,1
Long Beach Street Circuit,,Street circuit,Clockwise,Long Beach,United States,3.275 km,18,United States Grand Prix West,1976–1983,8
Lusail International Circuit *,,Race circuit,Clockwise,Lusail,Qatar,5.419 km,16,Qatar Grand Prix,"2021, 2023",2
Marina Bay Street Circuit *,,Street circuit,Anti-clockwise,Marina Bay,Singapore,4.940 km,23,Singapore Grand Prix,"2008–2019, 2022–2023",14
Miami International Autodrome *,,Street circuit,Anti-clockwise,Miami Gardens,United States,5.412 km,18,Miami Grand Prix,2022–2023,2
Montjuïc circuit,,Street circuit,Anti-clockwise,Barcelona,Spain,3.791 km,18,Spanish Grand Prix,"1969, 1971, 1973, 1975",4
Mosport International Raceway,,Race circuit,Clockwise,Bowmanville,Canada,3.957 km,10,Canadian Grand Prix,"1967, 1969, 1971–1974, 1976–1977",8
Nivelles-Baulers,,Race circuit,Clockwise,Nivelles,Belgium,3.724 km,7,Belgian Grand Prix,"1972, 1974",2
Nürburgring,,Race circuit,Clockwise,Nürburg,Germany,5.148 km,15,"German Grand Prix,
European Grand Prix,
Luxembourg Grand Prix,
Eifel Grand Prix","1951–1954, 1956–1958, 1961–1969, 1971–1976, 1984–1985, 1995–2007, 2009, 2011, 2013, 2020",41
Pescara Circuit,,Road circuit,Clockwise,Pescara,Italy,25.800 km,24*,Pescara Grand Prix,1957,1
Phoenix Street Circuit,,Street circuit,Anti-clockwise,Phoenix,United States,3.720 km,12,United States Grand Prix,1989–1991,3
Prince George Circuit,,Race circuit,Clockwise,East London,South Africa,3.920 km,8,South African Grand Prix,"1962–1963, 1965",3
Red Bull Ring *,,Race circuit,Clockwise,Spielberg,Austria,4.318 km,10,"Austrian Grand Prix,
Styrian Grand Prix","1970–1987, 1997–2003, 2014–2023[c]",37
Riverside International Raceway,,Race circuit,Clockwise,Moreno Valley,United States,5.271 km,9,United States Grand Prix,1960,1
Rouen-Les-Essarts,,Road circuit,Clockwise,Orival,France,6.542 km,13,French Grand Prix,"1952, 1957, 1962, 1964, 1968",5
Scandinavian Raceway,,Race circuit,Clockwise,Anderstorp,Sweden,4.031 km,8,Swedish Grand Prix,1973–1978,6
Sebring Raceway,,Road circuit,Clockwise,Sebring,United States,8.356 km,12,United States Grand Prix,1959,1
Sepang International Circuit,,Race circuit,Clockwise,Sepang,Malaysia,5.543 km,15,Malaysian Grand Prix,1999–2017,19
Shanghai International Circuit *,,Race circuit,Clockwise,Shanghai,China,5.451 km,16,Chinese Grand Prix,"2004–2019, 2024",17
Silverstone Circuit *,,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km,18,"British Grand Prix,
70th Anniversary Grand Prix","1950–1954, 1956, 1958, 1960, 1963, 1965, 1967, 1969, 1971, 1973, 1975, 1977, 1979, 1981, 1983, 1985, 1987–2023[a]",58
Sochi Autodrom,,Race circuit,Clockwise,Sochi,Russia,5.848 km,15,Russian Grand Prix,2014–2021,8
Suzuka International Racing Course *,,Race circuit,Part clockwise and part anti-clockwise (figure eight),Suzuka,Japan,5.807 km,18,Japanese Grand Prix,"1987–2006, 2009–2019, 2022–2024",34
TI Circuit Aida,,Race circuit,Clockwise,Mimasaka,Japan,3.703 km,11,Pacific Grand Prix,1994–1995,2
Valencia Street Circuit,,Street circuit,Clockwise,Valencia,Spain,5.419 km,25,European Grand Prix,2008–2012,5
Watkins Glen International,,Race circuit,Clockwise,Watkins Glen,United States,5.430 km,10,United States Grand Prix,1961–1980,20
Yas Marina Circuit *,,Race circuit,Anti-clockwise,Abu Dhabi,United Arab Emirates,5.281 km,15,Abu Dhabi Grand Prix,2009–2023,15
Zeltweg Airfield,,Road circuit,Clockwise,Zeltweg,Austria,3.186 km,4,Austrian Grand Prix,1964,1
